Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,209.76,224.23,211.75,234.11,206.54,6244535
2020-01-02,243.04,119.56,166.12,192.77,277.07,7150097
2020-01-03,220.55,276.87,269.05,154.98,183.46,5166423
2020-01-06,208.98,253.83,191.09,249.49,182.52,2139450
2020-01-07,184.73,242.37,118.54,137.58,190.66,3052417
2020-01-08,229.18,110.75,190.98,130.45,271.02,6746945
2020-01-09,187.52,179.24,274.39,103.07,222.0,2733111
2020-01-10,278.35,133.49,189.66,272.26,249.47,3386452
2020-01-13,292.73,264.38,102.87,198.47,243.63,7227807
2020-01-14,176.69,240.11,222.3,203.34,110.17,1316454
2020-01-15,258.35,276.62,299.17,122.95,295.34,2533381
2020-01-16,205.78,293.32,263.45,121.56,241.24,8837880
2020-01-17,213.61,254.95,223.45,166.76,216.03,7323034
2020-01-20,285.12,298.85,282.88,203.25,109.04,5003740
2020-01-21,114.21,222.95,262.72,240.17,283.62,8607551
2020-01-22,117.43,107.43,199.73,199.85,193.91,3834175
2020-01-23,104.04,102.85,218.24,266.31,282.24,4756064
2020-01-24,266.52,168.42,246.26,175.48,183.68,9980728
2020-01-27,255.63,264.69,269.29,105.62,215.46,8173894
2020-01-28,274.0,273.23,111.64,185.23,278.74,9130549
2020-01-29,295.72,292.16,254.96,117.0,192.17,9503311
2020-01-30,259.83,113.02,189.5,164.41,135.91,5414697
2020-01-31,192.3,108.91,232.16,297.03,185.01,5931164
2020-02-03,256.11,282.66,252.93,271.47,176.33,1798425
2020-02-04,123.65,161.01,207.9,147.29,246.17,5345230
2020-02-05,227.98,211.6,131.7,175.19,268.15,3330390
2020-02-06,128.67,296.49,181.91,186.23,102.27,8040706
2020-02-07,288.93,180.09,115.37,252.77,198.96,2038298
2020-02-10,204.37,233.17,237.86,106.69,153.45,3135569
2020-02-11,182.93,180.18,290.74,107.72,132.89,8444527
2020-02-12,152.91,253.64,259.05,123.42,233.14,8273106
2020-02-13,254.85,205.54,177.96,225.66,267.11,8301782
2020-02-14,191.23,147.5,216.86,182.91,208.88,8920857
2020-02-17,213.69,154.26,160.84,269.79,138.76,1572745
2020-02-18,103.76,151.61,208.21,156.81,250.26,1306959
2020-02-19,223.53,206.46,160.15,197.85,204.27,3696927
2020-02-20,222.42,240.64,247.66,241.36,260.93,8124506
2020-02-21,223.39,289.86,151.87,209.04,292.94,3732943
2020-02-24,288.75,238.82,292.8,163.36,183.87,7443391
2020-02-25,236.36,256.24,232.39,130.51,163.8,7910188
2020-02-26,171.9,133.79,113.76,208.12,156.42,4142781
2020-02-27,187.41,174.81,102.16,128.43,238.2,5353199
2020-02-28,239.53,182.76,299.41,287.86,294.38,5394565
2020-03-02,112.05,237.28,144.1,207.98,157.16,3759214
2020-03-03,233.35,159.18,162.51,134.98,192.46,3894325
2020-03-04,234.13,160.66,141.68,244.13,215.27,9532739
2020-03-05,142.08,171.18,285.62,120.71,290.78,1006041
2020-03-06,125.79,262.06,230.4,254.33,149.43,2833665
2020-03-09,163.09,215.52,200.88,191.46,292.33,8012208
2020-03-10,172.74,115.06,211.53,126.53,204.81,4001927
2020-03-11,214.04,115.65,163.57,107.44,245.68,5480048
2020-03-12,187.72,174.26,222.84,298.68,256.27,4491590
2020-03-13,297.67,253.32,183.92,154.87,132.92,6556728
2020-03-16,120.41,237.74,139.85,290.45,294.95,3003490
2020-03-17,141.78,241.6,231.32,200.37,295.22,2753832
2020-03-18,132.26,253.44,174.77,200.6,273.23,6345387
2020-03-19,230.62,157.43,257.01,118.21,268.67,8057855
2020-03-20,150.66,209.65,183.08,290.14,165.25,7551460
2020-03-23,193.26,208.67,201.65,246.58,270.41,8520841
2020-03-24,148.89,247.93,257.49,203.75,277.67,4366021
2020-03-25,131.79,291.37,189.58,124.05,153.31,7498439
2020-03-26,122.08,155.6,293.24,135.14,134.13,1572950
2020-03-27,231.27,258.66,258.61,186.43,251.4,2043548
2020-03-30,127.64,231.99,265.29,172.45,215.55,5854651
2020-03-31,139.32,216.05,290.78,211.63,121.57,8327644
2020-04-01,173.75,254.98,177.77,115.27,179.9,6911767
2020-04-02,264.2,288.81,216.02,108.07,166.4,9950718
2020-04-03,119.42,107.34,238.72,202.22,232.14,6577289
2020-04-06,267.59,129.48,234.69,105.7,184.08,8538541
2020-04-07,119.22,251.26,290.59,111.91,229.74,7173973
2020-04-08,295.29,116.76,157.67,175.27,259.88,2308470
2020-04-09,193.73,203.22,158.27,112.36,241.41,5511975
2020-04-10,295.35,143.97,283.6,177.09,223.51,5928268
2020-04-13,220.97,154.86,259.86,148.35,281.29,2256596
2020-04-14,247.85,240.37,140.67,137.55,149.56,1939149
2020-04-15,107.84,106.04,214.01,180.94,201.51,2176308
2020-04-16,156.56,274.66,249.15,123.98,251.22,3303002
2020-04-17,124.04,188.9,170.61,169.93,144.81,4322561
2020-04-20,159.23,200.48,186.88,186.97,142.34,4920755
2020-04-21,123.75,208.01,215.08,266.0,236.85,5946273
